"","ensembl_gene_id","entrezgene_id"
"623","ENSMUSG00000003657",12308
"624","ENSMUSG00000003660",320632
"625","ENSMUSG00000003662",26371
"626","ENSMUSG00000003665",15116
"627","ENSMUSG00000003680",225895
"628","ENSMUSG00000003680",100039957
"629","ENSMUSG00000003721",72999
"630","ENSMUSG00000003731",16650
"631","ENSMUSG00000003746",17155
"632","ENSMUSG00000003752",233011
"633","ENSMUSG00000003762",76889
"634","ENSMUSG00000003778",78656
"635","ENSMUSG00000003779",19348
"636","ENSMUSG00000003808",66590
"637","ENSMUSG00000003809",270076
"638","ENSMUSG00000003810",17776
"639","ENSMUSG00000003812",13423
"640","ENSMUSG00000003812",100503676
"641","ENSMUSG00000003813",19358
"642","ENSMUSG00000003814",12317
"643","ENSMUSG00000003824",71846
"644","ENSMUSG00000003847",54446
"645","ENSMUSG00000003848",67619
"646","ENSMUSG00000003849",18104
"647","ENSMUSG00000003863",76787
"648","ENSMUSG00000003865",14936
"649","ENSMUSG00000003868",20174
"650","ENSMUSG00000003872",22342
"651","ENSMUSG00000003873",12028
"652","ENSMUSG00000003882",16197
"653","ENSMUSG00000003923",21780
"654","ENSMUSG00000003929",224694
"655","ENSMUSG00000003934",13643
"656","ENSMUSG00000003948",67468
"657","ENSMUSG00000003949",217082
"658","ENSMUSG00000003955",70186
"659","ENSMUSG00000003970",26961
"660","ENSMUSG00000003974",108069
"661","ENSMUSG00000003992",66970
"662","ENSMUSG00000004018",67030
"663","ENSMUSG00000004031",240843
"664","ENSMUSG00000004032",14866
"665","ENSMUSG00000004035",68312
"666","ENSMUSG00000004038",14864
"667","ENSMUSG00000004040",20848
"668","ENSMUSG00000004043",20850
"669","ENSMUSG00000004044",19285
"670","ENSMUSG00000004054",26403
"671","ENSMUSG00000004056",11652
"672","ENSMUSG00000004069",83945
"673","ENSMUSG00000004070",15369
"674","ENSMUSG00000004071",66626
"675","ENSMUSG00000004085",65964
"676","ENSMUSG00000004096",66070
