"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSSSCG00000010734",1130.38111594378,1.1516707490606,0.455037743868775,0.000815001527053413,0.015290558352609
"ENSSSCG00000011040",74.7761166916347,1.1557721811956,0.520371642235206,0.00174041809802029,0.0256310710535334
"ENSSSCG00000011076",119.107325885454,1.81844728223942,0.502041230270661,1.34705711642337e-05,0.000705121140859297
"ENSSSCG00000011133",735.277403308173,1.69185500189693,0.443513358692363,6.77851951759089e-06,0.000417033007593603
"ENSSSCG00000011179",438.876751701177,1.10284657486293,0.326025198119384,6.75649433249801e-05,0.00256570763740491
"ENSSSCG00000011218",683.69583132835,1.71664166726407,0.32074409805497,4.8789625210789e-09,1.18914281000087e-06
"ENSSSCG00000011241",58.4846042925979,1.81208896745641,0.655492257171828,0.000218383553890689,0.00599731878648503
"ENSSSCG00000011264",441.352726919739,2.09207321451699,0.614570264028865,2.31321636677238e-05,0.00106910090082853
"ENSSSCG00000011355",1055.08649750115,1.31742976313508,0.494587515216061,0.000467792303414312,0.0103674811197635
"ENSSSCG00000011440",1370.7864070395,1.04538057907335,0.406642051468539,0.000892960618459261,0.0162231167393907
"ENSSSCG00000011465",231.398575940469,1.32971042518378,0.324515851634795,3.13142761268678e-06,0.000227346443803838
"ENSSSCG00000011496",130.87273649242,1.38762820051331,0.771627424374001,0.002664397518957,0.0343921448138393
"ENSSSCG00000011521",575.262517830716,1.33491375254928,0.389296186310218,4.30420233723301e-05,0.00176537511013481
"ENSSSCG00000011609",431.326331853428,1.4583097316291,0.41333709022943,2.5863253955666e-05,0.00116964868545564
"ENSSSCG00000011641",1212.80164659313,1.1060661763469,0.302988943095235,2.50323235887724e-05,0.00114851694838656
"ENSSSCG00000011747",167.535513658836,2.81729887916969,0.534994720268322,4.89827776165164e-09,1.18914281000087e-06
"ENSSSCG00000011802",3261.53919680069,1.55383896002335,0.60091419811524,0.000420087789143385,0.00956760038038221
"ENSSSCG00000011914",35.2777291570789,2.49289094097017,0.898879580436448,0.000158031611320159,0.00472325079322665
"ENSSSCG00000011918",102.535953469156,1.90127312098531,0.486455893816492,4.54226017679167e-06,0.000305217333652572
