"","Mouse.gene.stable.ID","DownLFC"
"222","ENSMUSG00000028463","-2.25224006578426"
"223","ENSMUSG00000028527","-2.94817500021327"
"224","ENSMUSG00000028528","-2.26327946624694"
"225","ENSMUSG00000028544","-2.10973061647446"
"226","ENSMUSG00000028553","-2.87780097525091"
"227","ENSMUSG00000028575","-2.3139271318271"
"228","ENSMUSG00000028655","-2.75581140752504"
"229","ENSMUSG00000028712","-2.54359309003397"
"230","ENSMUSG00000028713","-2.01029821847349"
"231","ENSMUSG00000028715","-2.46493875849463"
"232","ENSMUSG00000028738","-3.4408223404625"
"233","ENSMUSG00000028834","-2.66019164581833"
"234","ENSMUSG00000028976","-2.08352303000339"
"235","ENSMUSG00000028979","-2.11986902973147"
"236","ENSMUSG00000028982","-2.39745813046601"
"237","ENSMUSG00000029154","-2.26094064233255"
"238","ENSMUSG00000029161","-2.18690441352758"
"239","ENSMUSG00000029162","-2.4240519233541"
"240","ENSMUSG00000029269","-2.15591733103232"
"241","ENSMUSG00000029273","-2.39617409611188"
"242","ENSMUSG00000029368","-2.70240090281359"
"243","ENSMUSG00000029369","-3.15969011416674"
"244","ENSMUSG00000029384","-2.55288220678684"
"245","ENSMUSG00000029445","-5.77994004070873"
"246","ENSMUSG00000029499","-2.39525831555588"
"247","ENSMUSG00000029517","-2.15626406858479"
"248","ENSMUSG00000029546","-3.00629739155438"
"249","ENSMUSG00000029608","-2.19327961270813"
"250","ENSMUSG00000029695","-2.26326191623907"
"251","ENSMUSG00000029711","-2.55255264423845"
"252","ENSMUSG00000029736","-2.6783581914163"
"253","ENSMUSG00000029797","-2.86216271503862"
"254","ENSMUSG00000029830","-2.20895181167619"
"255","ENSMUSG00000030004","-2.64383084849945"
"256","ENSMUSG00000030069","-2.68490915861781"
"257","ENSMUSG00000030087","-2.03129462404891"
"258","ENSMUSG00000030098","-2.56922044640404"
"259","ENSMUSG00000030109","-2.16555295006784"
"260","ENSMUSG00000030158","-3.18698793465418"
"261","ENSMUSG00000030244","-3.46189195612119"
"262","ENSMUSG00000030359","-2.93226805113162"
"263","ENSMUSG00000030364","-2.61161511964553"
"264","ENSMUSG00000030382","-2.23165616524325"
"265","ENSMUSG00000030544","-2.04720299204605"
"266","ENSMUSG00000030562","-2.20065107319145"
"267","ENSMUSG00000030623","-3.78656178346142"
"268","ENSMUSG00000030781","-2.7328479678348"
"269","ENSMUSG00000030785","-2.05185639026707"
"270","ENSMUSG00000030834","-2.38388034606881"
"271","ENSMUSG00000030889","-3.54715911454541"
"272","ENSMUSG00000030911","-2.42919488867882"
"273","ENSMUSG00000030945","-2.67399363055426"
"274","ENSMUSG00000030972","-2.93620687680543"
"275","ENSMUSG00000031139","-2.87084326976723"
"276","ENSMUSG00000031163","-2.08049744009546"
"277","ENSMUSG00000031294","-3.34732874717347"
"278","ENSMUSG00000031303","-2.1539335915721"
"279","ENSMUSG00000031364","-3.90574172627236"
"280","ENSMUSG00000031445","-2.80239678176945"
"281","ENSMUSG00000031448","-4.01269832467765"
"282","ENSMUSG00000031449","-3.24067809184843"
"283","ENSMUSG00000031517","-2.20832991215724"
"284","ENSMUSG00000031549","-3.84594166539858"
"285","ENSMUSG00000031620","-3.25955398823035"
"286","ENSMUSG00000031654","-4.02335724803111"
"287","ENSMUSG00000031710","-2.69243513077262"
"288","ENSMUSG00000031725","-2.2809951525315"
"289","ENSMUSG00000031766","-3.10832110985479"
"290","ENSMUSG00000031772","-3.066116477218"
"291","ENSMUSG00000031842","-2.73775070350335"
"292","ENSMUSG00000031884","-2.66447179303457"
"293","ENSMUSG00000031936","-2.03853230242491"
"294","ENSMUSG00000031938","-2.19431423464197"
"295","ENSMUSG00000032066","-2.52334504269526"
"296","ENSMUSG00000032114","-2.17637923452644"
"297","ENSMUSG00000032128","-2.65278148594607"
"298","ENSMUSG00000032292","-4.5106015070061"
"299","ENSMUSG00000032401","-2.4723399273978"
"300","ENSMUSG00000032454","-2.75293791415225"
"301","ENSMUSG00000032473","-2.58701891700285"
"302","ENSMUSG00000032556","-2.15862242911118"
"303","ENSMUSG00000032564","-3.46053805233774"
"304","ENSMUSG00000032595","-2.07477617633149"
"305","ENSMUSG00000032758","-4.06542002735432"
"306","ENSMUSG00000032921","-4.04557673372401"
"307","ENSMUSG00000032985","-3.44107733188532"
"308","ENSMUSG00000032988","-2.72018775898705"
"309","ENSMUSG00000033122","-2.16912879655798"
"310","ENSMUSG00000033177","-2.93565035960983"
"311","ENSMUSG00000033219","-4.59707892453639"
"312","ENSMUSG00000033409","-2.04908377783918"
"313","ENSMUSG00000033427","-2.53814948128584"
"314","ENSMUSG00000033488","-2.18874432074533"
"315","ENSMUSG00000033533","-2.66566903176245"
"316","ENSMUSG00000033715","-3.29811078487934"
"317","ENSMUSG00000033963","-3.53871590920744"
"318","ENSMUSG00000033981","-2.84109549557793"
"319","ENSMUSG00000033987","-2.17709476052689"
"320","ENSMUSG00000034031","-2.94478648990557"
"321","ENSMUSG00000034115","-2.23369109224943"
"322","ENSMUSG00000034456","-2.39806910424173"
"323","ENSMUSG00000034493","-2.58781759091105"
"324","ENSMUSG00000034785","-2.93662834498609"
"325","ENSMUSG00000034837","-2.02008729756603"
"326","ENSMUSG00000034871","-2.71966578270749"
"327","ENSMUSG00000034875","-2.45468578604166"
"328","ENSMUSG00000034990","-2.24493463975622"
"329","ENSMUSG00000035031","-3.99801299299997"
"330","ENSMUSG00000035179","-2.43516364833555"
"331","ENSMUSG00000035435","-2.41816533652177"
"332","ENSMUSG00000035459","-2.00095760396564"
"333","ENSMUSG00000035486","-2.34208972904684"
"334","ENSMUSG00000035539","-4.26540690740395"
"335","ENSMUSG00000035745","-3.72363235579828"
"336","ENSMUSG00000035769","-2.08061064636381"
"337","ENSMUSG00000035780","-2.14255754788794"
"338","ENSMUSG00000035878","-2.10003344987761"
"339","ENSMUSG00000036083","-2.75740835989604"
"340","ENSMUSG00000036110","-3.34788421904729"
"341","ENSMUSG00000036123","-2.15637703070571"
"342","ENSMUSG00000036218","-2.33009952413699"
"343","ENSMUSG00000036330","-3.02098684917749"
"344","ENSMUSG00000036764","-2.83209140896862"
"345","ENSMUSG00000036813","-2.58861253663128"
"346","ENSMUSG00000036816","-3.01658746099866"
"347","ENSMUSG00000036832","-2.20021891993551"
"348","ENSMUSG00000036892","-2.437472477571"
"349","ENSMUSG00000036961","-2.71775181459721"
"350","ENSMUSG00000037005","-2.18099726072539"
"351","ENSMUSG00000037071","-2.01269573340589"
